time,loss,train_time,qtty_records
12.527119398117065,2.333401931077242,2.9369131073000974,10
16.06196880340576,2.3590521559119226,1.351347990100112,10
19.579347133636475,2.236500042304397,1.3749575977000859,10
23.194161415100098,2.1825113579630853,1.3765060494000863,10
26.82434606552124,2.0717548042535783,1.4203524665999794,10
30.23932433128357,2.0965604566037657,1.3633567179000239,10
33.75326490402222,2.0409636914730074,1.3432783498996286,10
37.26810312271118,2.0858336333185434,1.382950503000211,10
40.78456473350525,1.9947106804698707,1.4232068336999872,10
44.406811475753784,1.9789763983339073,1.3719972248996783,10
48.03768825531006,2.010553248226643,1.406734224900174,10
51.56316328048706,1.9374012861400842,1.4483320029001334,10
55.07858633995056,1.9492112874984744,1.4098746419002055,10
58.59532642364502,1.9684832878410818,1.3940849099004482,10
62.11297845840454,1.9510542608797552,1.4713257296001756,10
65.62983226776123,1.9449318896979095,1.417319642700022,10
69.24651265144348,1.900749234110117,1.4971108104999076,10
72.76536989212036,1.881916765868664,1.5237202084999808,10
76.39830350875854,1.9095067877322436,1.4427785930996833,10
79.9164526462555,1.9252920910716058,1.3853337364003893,10
83.43794393539429,1.9003163378685717,1.511101741100174,10
86.95431971549988,1.938524602726102,1.4175473444998716,10
90.47112202644348,1.8619913559406998,1.392740935999973,10
94.089608669281,1.9066448949277401,1.4488316884999222,10
97.71559524536133,1.8661840122193096,1.4478435305996755,10
101.24127626419067,1.8762511629611258,1.394393966700045,10
104.75555920600891,1.8747043285518887,1.4002175761997933,10
108.27126002311707,1.9009012341499327,1.4393750731002002,10
111.7864077091217,1.8713713742792604,1.3926118079001752,10
115.30537819862366,1.85948639549315,1.4251184766999359,10
118.8297164440155,1.872376188635826,1.364938863000134,10
122.46080303192139,1.843909948319197,1.4312638565997986,10
126.09340214729309,1.866239931061864,1.4201201655994737,10
129.72212743759155,1.866806987673044,1.4407725935994677,10
133.25342226028442,1.8592341136187316,1.4268619875998412,10
136.87345123291016,1.8142597418278457,1.4125687048996043,10
140.3935718536377,1.8241324052214625,1.3848096482002803,10
143.92153787612915,1.82104059420526,1.3668762065997726,10
147.43863010406494,1.8342113062739374,1.345271944600063,10
151.0547046661377,1.8573315527290108,1.3718012754003213,10
154.5808298587799,1.8000638697296385,1.3920852059000026,10
158.09832429885864,1.8324328865855934,1.4040888178000386,10
161.61310529708862,1.8021156609058384,1.3611061394998614,10
165.12987089157104,1.878924060985446,1.3964870368999982,10
168.65435981750488,1.8402429021894933,1.3359883574998093,10
172.17303133010864,1.8053220868110658,1.3516388761998315,10
175.80431246757507,1.7927500370889904,1.5094209641998533,10
179.32139229774475,1.8228074323385957,1.4007168746997194,10
183.05150532722473,1.7988403897732497,1.5042997122000088,10
186.56854128837585,1.8327640052884817,1.3799263913999311,10
190.0846095085144,1.7959142412990334,1.358510670599935,10
193.6157922744751,1.8148405451327563,1.4407923853001194,10
197.1364586353302,1.832179378345609,1.38870588209993,10
200.6502058506012,1.7760880928486589,1.3842254354003671,10
204.17014050483704,1.810927003622055,1.3499985684000422,10
207.7846977710724,1.7997839160263542,1.3287694667002143,10
211.42981815338135,1.8030578304082159,1.42813499519998,10
214.96115899085999,1.8028446298092602,1.3762666587999774,10
218.47826623916626,1.8407317996025088,1.41329515990019,10
222.00981664657593,1.7902226224541666,1.464338793800016,10
225.52827882766724,1.8201509736478332,1.3860999409000214,10
229.04740452766418,1.834742410108447,1.3437331582004846,10
232.56263780593872,1.8242976598441603,1.336848736399952,10
236.07608842849731,1.8253824733197692,1.3968555207002282,10
239.59494829177856,1.842457054927945,1.369496368399814,10
243.12188863754272,1.8339914552867413,1.3240822205996665,10
246.63807463645935,1.826574387401343,1.406649666699741,10
250.15834498405457,1.8400484498590233,1.4228111121003166,10
253.77509021759033,1.8044676143676046,1.497612878700238,10
257.3045494556427,1.8316809803247451,1.4532455189999383,10
260.8191225528717,1.810806518420577,1.3785784880999927,10
264.23514103889465,1.7952311079949144,1.3445271989998218,10
267.7498619556427,1.817666690796614,1.358164202300395,10
271.26640796661377,1.8511790812015536,1.394166685500022,10
274.89375162124634,1.8065625347197058,1.3703416265998385,10
278.41966462135315,1.8603254985064268,1.4348036287001378,10
282.0437276363373,1.8337797261774544,1.461895251099668,10
285.6752803325653,1.8133910473436117,1.3526234910998027,10
289.19184708595276,1.800308182835579,1.3920498039000448,10
292.7101631164551,1.8100071500986816,1.4180645686004936,10
296.2394151687622,1.8078760884702207,1.3972379444996477,10
299.75493454933167,1.7676402494311336,1.4127022829999987,10
303.27839183807373,1.8250053811818363,1.4155480019999231,10
306.898814201355,1.848157496750355,1.4083021191003353,10
310.4323148727417,1.836372195929289,1.368732763400112,10
313.9466757774353,1.8044616330415013,1.4140933748998576,10
317.4656355381012,1.8405067283660177,1.3546143098998074,10
320.98338651657104,1.822908373177052,1.360882198800209,10
324.5055687427521,1.803523649275303,1.4301673359001144,10
328.02183723449707,1.8132014032453299,1.418676185599543,10
331.53850269317627,1.834885462000966,1.3895952580003723,10
335.05593252182007,1.8303354736417534,1.3428013250997537,10
338.58159136772156,1.8302464384585622,1.4316769538001608,10
342.11178064346313,1.829048427194357,1.3999098914999195,10
345.6415114402771,1.813278787583113,1.4148128738004744,10
349.15695905685425,1.802919737994671,1.3478877976998773,10
352.6716125011444,1.8342772219330075,1.439018293299887,10
356.1946897506714,1.7975217018276455,1.2955613784002709,10
359.81735157966614,1.7928848948329688,1.5163069637999798,10
363.3366162776947,1.7875498410314326,1.3427125337997494,10
