time,loss,acc,train_loss
18.528578519821167,2.373164085298777,0.1037,2.2144170699119567
28.054620027542114,2.2734656229615213,0.1202,2.151692962360382
37.56895709037781,2.19367090575397,0.1482,2.09453180103302
47.088181495666504,2.1161812458187343,0.1961,2.05790513753891
56.60482430458069,2.0787836581468584,0.22219999999999998,2.024834077548981
66.13238453865051,2.1494527615606787,0.2107,2.013788042354584
75.66042351722717,2.0052747868001464,0.2731,1.9830482208251954
85.17547631263733,2.102553687244654,0.2166,1.970744120693207
94.69366598129272,1.9926466114819052,0.2686,1.9771594955444336
104.31302189826965,2.0193012420088055,0.2707,1.948117895412445
113.8410382270813,1.9371938429772855,0.2819,1.9550168236732486
123.36305046081543,1.9944580465555193,0.2831,1.9394215332984925
132.88921737670898,1.9588114846497775,0.2837,1.9447186807632444
142.5051429271698,2.067583303526044,0.2327,1.9698296525001526
152.03400421142578,1.929102035611868,0.29860000000000003,1.932835960006714
161.56037402153015,1.8987133581191302,0.31729999999999997,1.912243272304535
171.17936897277832,1.9147082280367613,0.3048,1.9196295369148255
180.69820761680603,1.9491327539086343,0.29910000000000003,1.89690021648407
190.2149646282196,1.9058681033551692,0.30970000000000003,1.909122538280487
199.7322597503662,1.9048988170921803,0.30550000000000005,1.8985627386093138
209.35610246658325,1.91500659622252,0.2974,1.903271572685242
218.9849808216095,1.9042970679700375,0.3178,1.8928528294563294
228.49775576591492,1.9301473453640938,0.3158,1.8967318185806277
238.0226776599884,1.9096413340419531,0.3182,1.8907846825599672
247.53936004638672,1.8816158149391415,0.3091,1.9024844035148618
257.16675758361816,1.8913437176495793,0.3297,1.8892607191085815
266.78318095207214,1.8854433983564378,0.31070000000000003,1.8963894576072695
276.2984142303467,1.8442643370479348,0.3451,1.8713036009788513
285.8167953491211,1.8740153767168524,0.3251,1.8757913692474366
295.34280586242676,1.8630285158753395,0.34330000000000005,1.8729573694229127
304.97785329818726,1.8805193461477758,0.34600000000000003,1.8905598958015444
314.5045802593231,1.8470468457788232,0.34110000000000007,1.8688145665168763
324.0372052192688,1.8565739545971156,0.33499999999999996,1.8737492994308473
333.6641745567322,1.8527710795402528,0.3493,1.8669701352119445
343.2928967475891,1.8692232206463817,0.3451,1.8632470713615419
352.8086860179901,1.882867278158665,0.3361,1.8757924527168273
362.3368752002716,1.8590608675032856,0.34209999999999996,1.8807346152305606
371.851802110672,1.8630676504224541,0.34209999999999996,1.8793962159156803
381.4771258831024,1.8483985207974916,0.3451,1.8600522618293764
391.1054129600525,1.8738863289356233,0.34830000000000005,1.8559291502952577
400.6230878829956,1.8734379503875973,0.3521,1.8544049811363221
410.150128364563,1.8294996529817582,0.3465000000000001,1.8561376372337342
419.5716435909271,1.8722048971801997,0.3446,1.856083309364319
429.0973861217499,1.859523440524936,0.35869999999999996,1.8625021575927736
438.62681913375854,1.8298353746533396,0.3651,1.8543477498054508
448.14330768585205,1.84595982208848,0.3498,1.8575295885086063
457.66148853302,1.8607413478195667,0.3486,1.8726633935928345
